Año lectivo;AMIE;Nombre_Institución;Zona;Provincia;Cod_Provincia;Cantón;Cod_Cantón;Parroquia;Cod_Parroquia;Escolarización;Tipo Educación;Nivel Educación;Sostenimiento;Área;Régimen Escolar;Jurisdicción;Modalidad;Jornada;Tenencia Inmueble Edificio;Acceso Edificio;Docentes Femenino;Docentes Masculino;Total Docentes;Administrativos Femenino;Administrativos Masculino;Total Administrativos;Estudiantes Femenino;Estudiantes Masculino;Total Estudiantes;EstudiantesMasculinoMenor3Años;EstudiantesFemeninoMenor3Años;EstudiantesMasculino3Años;EstudiantesFemenino3Años;EstudiantesMasculino4Años;EstudiantesFemenino4Años;EstudiantesMasculinoPrimerAñoEGB;EstudiantesFemeninoPrimerAñoEGB;EstudiantesMasculinoSegundoAñoEGB;EstudiantesFemeninoSegundoAñoEGB;EstudiantesMasculinoTercerAñoEGB;EstudiantesFemeninoTercerAñoEGB;EstudiantesMasculinoCuartoAñoEGB;EstudiantesFemeninoCuartoAñoEGB;EstudiantesMasculinoQuintoAñoEGB;EstudiantesFemeninoQuintoAñoEGB;EstudiantesMasculinoSextoAñoEGB;EstudiantesFemeninoSextoAñoEGB;EstudiantesMasculinoSeptimoAñoEGB;EstudiantesFemeninoSeptimoAñoEGB;EstudiantesMasculinoOctavoAñoEGB;EstudiantesFemeninoOctavoAñoEGB;EstudiantesMasculinoNovenoAñoEGB;EstudiantesFemeninoNovenoAñoEGB;EstudiantesMasculinoDecimoAñoEGB;EstudiantesFemeninoDecimoAñoEGB;EstudiantesMasculinoPrimerAñoBACH;EstudiantesFemeninoPrimerAñoBACH;EstudiantesMasculinoSegundoAñoBACH;EstudiantesFemeninoSegundoAñoBACH;EstudiantesMasculinoTercerAñoBACH;EstudiantesFemeninoTercerAñoBACH;EstudiantesMasculinoNoEscolarizada;EstudiantesFemeninoNoEscolarizada;EstudiantesMasculinoDesconoce;EstudiantesFemeninoDesconoce;EstudiantesMasculinoPostBasico;EstudiantesFemeninoPostBasico;Estudiantes MasculinoAlfabetización;Estudiantes FemeninoAlfabetización;EstudiantesFemeninoArtesanal;EstudiantesMasculinoArtesanal;Estudiantes MasculinoBasica Acelerada;Estudiantes FemeninoBasica Acelerada
2023-2024 Inicio;17H03687;CECOMSYS;Zona 2;PICHINCHA;17;RUMIÑAHUI;1705;SANGOLQUI;170501;Escolarizada;Popular Permanente;Educación General Básica y Bachillerato;Particular;Urbana;Sierra;Intercultural;A Distancia;Matutina;Arrendada;Terrestre;2;3;5;2;1;3;2;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024 Inicio;06H00116;COLEGIO DE BACHILLERATO DR EUGENIO ESPEJO PCEI;Zona 3;CHIMBORAZO;6;RIOBAMBA;601;MALDONADO;60102;Escolarizada;Popular Permanente;Educación General Básica y Bachillerato;Particular;Urbana;Sierra;Intercultural;A Distancia;Matutina;Comodato;Terrestre;3;3;6;2;0;2;8;11;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;1;5;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024 Inicio;01H01615;COLEGIO DE BACHILLERATO PARTICULAR ATLÁNTICO PCEI;Zona 6;AZUAY;1;CUENCA;101;EL BATAN;10103;Escolarizada;Popular Permanente;Bachillerato y Ofertas Intensivas;Particular;Urbana;Sierra;Intercultural;A Distancia;Matutina;Arrendada;Terrestre;5;5;10;2;1;3;178;101;279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;63;6;13;27;60;0;0;0;0;0;0;0;0;0;0;33;42
2023-2024 Inicio;01H02032;COLEGIO DE BACHILLERATO PARTICULAR NEUE SCHULE;Zona 6;AZUAY;1;CUENCA;101;HUAYNACAPAC;10107;Escolarizada;Ordinario;Bachillerato;Particular;Urbana;Sierra;Intercultural;A Distancia;Matutina;Arrendada;Terrestre;2;3;5;4;1;5;14;16;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;7;5;3;4;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024 Inicio;11H01909;COLEGIO DE BACHILLERATO PARTICULAR PCEI DR JOSE MARIA VIVAR CASTRO;Zona 7;LOJA;11;LOJA;1101;SUCRE;110103;Escolarizada;Popular Permanente;Bachillerato;Particular;Urbana;Sierra;Intercultural;A Distancia;Matutina;Propio;Terrestre;3;1;4;3;1;4;20;49;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;47;18;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024 Inicio;11H00091;COLEGIO DE BACHILLERATO PARTICULAR PCEI ISIDRO AYORA CUEVA;Zona 7;LOJA;11;LOJA;1101;SAN SEBASTIAN;110102;Escolarizada;Popular Permanente;Educación General Básica y Bachillerato;Particular;Urbana;Sierra;Intercultural;A Distancia;Matutina;Arrendada;Terrestre;3;2;5;1;1;2;58;78;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;4;4;3;11;12;15;13;44;25;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024 Inicio;08H02102;COLEGIO DE BACHILLERATO PARTICULAR PCEI PROVINCIA DE ESMERALDAS;Zona 1;ESMERALDAS;8;ESMERALDAS;801;ESMERALDAS;80103;Escolarizada;Popular Permanente;Bachillerato y Ofertas Intensivas;Particular;Urbana;Costa;Intercultural;A Distancia;Nocturna;Arrendada;Terrestre;6;2;8;2;1;3;108;123;231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;23;20;22;45;37;0;0;0;0;0;0;0;0;0;0;23;26
2023-2024 Inicio;17H04359;COLEGIO DE BACHILLERATO PARTICULAR PCEI VALLE;Zona 9;PICHINCHA;17;QUITO;1701;TUMBACO;170184;Escolarizada;Popular Permanente;Bachillerato;Particular;Rural;Sierra;Intercultural;A Distancia;Nocturna;Arrendada;Terrestre;1;3;4;1;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024 Inicio;18H00993;COLEGIO DE BACHILLERATO PCEI AMÉRICA;Zona 3;TUNGURAHUA;18;AMBATO;1801;CELIANO MONGE;180102;Escolarizada;Popular Permanente;Educación General Básica y Bachillerato;Particular;Urbana;Sierra;Intercultural;A Distancia;Matutina;Prestado;Terrestre;4;0;4;2;1;3;77;78;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;8;7;18;8;15;25;29;33;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024 Inicio;10H00080;COLEGIO DE BACHILLERATO PCEI AMERICANO;Zona 1;IMBABURA;10;IBARRA;1001;SAGRARIO;100103;Escolarizada;Popular Permanente;Bachillerato y Ofertas Intensivas;Particular;Urbana;Sierra;Intercultural;A Distancia;Matutina;Propio;Terrestre;4;4;8;2;0;2;65;83;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;8;19;20;34;26;0;0;0;0;0;0;0;0;0;0;12;11
