provincia,anio_lectivo,sostenimiento,total_bachilleres
AZUAY,2023-2024 Inicio,Fiscal,8698
AZUAY,2023-2024 Inicio,Fiscomisional,1520
AZUAY,2023-2024 Inicio,Particular,2749
BOLIVAR,2023-2024 Inicio,Fiscal,3118
BOLIVAR,2023-2024 Inicio,Fiscomisional,291
BOLIVAR,2023-2024 Inicio,Municipal,17
BOLIVAR,2023-2024 Inicio,Particular,141
CARCHI,2023-2024 Inicio,Fiscal,1967
CARCHI,2023-2024 Inicio,Fiscomisional,594
CARCHI,2023-2024 Inicio,Municipal,13
CAÑAR,2023-2024 Inicio,Fiscal,3036
CAÑAR,2023-2024 Inicio,Fiscomisional,311
CAÑAR,2023-2024 Inicio,Particular,344
CHIMBORAZO,2023-2024 Inicio,Fiscal,6121
CHIMBORAZO,2023-2024 Inicio,Fiscomisional,1012
CHIMBORAZO,2023-2024 Inicio,Particular,843
COTOPAXI,2023-2024 Inicio,Fiscal,7244
COTOPAXI,2023-2024 Inicio,Fiscomisional,503
COTOPAXI,2023-2024 Inicio,Municipal,24
COTOPAXI,2023-2024 Inicio,Particular,799
EL ORO,2023-2024 Inicio,Fiscal,8977
EL ORO,2023-2024 Inicio,Fiscomisional,374
EL ORO,2023-2024 Inicio,Municipal,120
EL ORO,2023-2024 Inicio,Particular,1542
ESMERALDAS,2023-2024 Inicio,Fiscal,7049
ESMERALDAS,2023-2024 Inicio,Fiscomisional,2067
ESMERALDAS,2023-2024 Inicio,Particular,401
GALAPAGOS,2023-2024 Inicio,Fiscal,251
GALAPAGOS,2023-2024 Inicio,Fiscomisional,181
GALAPAGOS,2023-2024 Inicio,Municipal,8
GALAPAGOS,2023-2024 Inicio,Particular,20
GUAYAS,2023-2024 Inicio,Fiscal,50164
GUAYAS,2023-2024 Inicio,Fiscomisional,1723
GUAYAS,2023-2024 Inicio,Municipal,55
GUAYAS,2023-2024 Inicio,Particular,18897
IMBABURA,2023-2024 Inicio,Fiscal,6219
IMBABURA,2023-2024 Inicio,Fiscomisional,796
IMBABURA,2023-2024 Inicio,Municipal,49
IMBABURA,2023-2024 Inicio,Particular,1779
LOJA,2023-2024 Inicio,Fiscal,4583
LOJA,2023-2024 Inicio,Fiscomisional,2607
LOJA,2023-2024 Inicio,Particular,816
LOS RIOS,2023-2024 Inicio,Fiscal,12492
LOS RIOS,2023-2024 Inicio,Fiscomisional,235
LOS RIOS,2023-2024 Inicio,Municipal,106
LOS RIOS,2023-2024 Inicio,Particular,1443
MANABI,2023-2024 Inicio,Fiscal,21246
MANABI,2023-2024 Inicio,Fiscomisional,1155
MANABI,2023-2024 Inicio,Municipal,65
MANABI,2023-2024 Inicio,Particular,3388
MORONA SANTIAGO,2023-2024 Inicio,Fiscal,1779
MORONA SANTIAGO,2023-2024 Inicio,Fiscomisional,889
MORONA SANTIAGO,2023-2024 Inicio,Municipal,44
MORONA SANTIAGO,2023-2024 Inicio,Particular,15
NAPO,2023-2024 Inicio,Fiscal,1419
NAPO,2023-2024 Inicio,Fiscomisional,1099
NAPO,2023-2024 Inicio,Particular,46
ORELLANA,2023-2024 Inicio,Fiscal,2355
ORELLANA,2023-2024 Inicio,Fiscomisional,677
ORELLANA,2023-2024 Inicio,Particular,373
PASTAZA,2023-2024 Inicio,Fiscal,1010
PASTAZA,2023-2024 Inicio,Fiscomisional,520
PASTAZA,2023-2024 Inicio,Particular,191
PICHINCHA,2023-2024 Inicio,Fiscal,33022
PICHINCHA,2023-2024 Inicio,Fiscomisional,2631
PICHINCHA,2023-2024 Inicio,Municipal,2033
PICHINCHA,2023-2024 Inicio,Particular,13657
SANTA ELENA,2023-2024 Inicio,Fiscal,4963
SANTA ELENA,2023-2024 Inicio,Fiscomisional,362
SANTA ELENA,2023-2024 Inicio,Municipal,97
SANTA ELENA,2023-2024 Inicio,Particular,1229
SANTO DOMINGO DE LOS TSACHILAS,2023-2024 Inicio,Fiscal,7430
SANTO DOMINGO DE LOS TSACHILAS,2023-2024 Inicio,Fiscomisional,249
SANTO DOMINGO DE LOS TSACHILAS,2023-2024 Inicio,Particular,1868
SUCUMBIOS,2023-2024 Inicio,Fiscal,3139
SUCUMBIOS,2023-2024 Inicio,Fiscomisional,363
SUCUMBIOS,2023-2024 Inicio,Municipal,39
SUCUMBIOS,2023-2024 Inicio,Particular,247
TUNGURAHUA,2023-2024 Inicio,Fiscal,6721
TUNGURAHUA,2023-2024 Inicio,Fiscomisional,301
TUNGURAHUA,2023-2024 Inicio,Particular,2203
ZAMORA CHINCHIPE,2023-2024 Inicio,Fiscal,1496
ZAMORA CHINCHIPE,2023-2024 Inicio,Fiscomisional,559
ZAMORA CHINCHIPE,2023-2024 Inicio,Particular,78
