anio,pib_real_musd,pib_percapita_nominal,variacion_pib_pct,clasificacion
2000,52158.03995407,1404.6,0.0,Estancamiento
2001,54351.949235809996,1823.7,4.20627248200249,Crecimiento fuerte
2002,57030.4656665354,2097.1,4.9280963578777,Crecimiento fuerte
2003,58675.5100439129,2358.0,2.88450104369864,Crecimiento fuerte
2004,62684.453826791396,2633.0,6.83239699131424,Crecimiento fuerte
2005,66068.550034407,2960.7,5.39862119077636,Crecimiento fuerte
2006,68936.6738678391,3298.4,4.34113331068784,Crecimiento fuerte
2007,70248.1450951001,3533.7,1.9024289303183801,Crecimiento moderado
2008,74859.8810834904,4257.9,6.56492208035824,Crecimiento fuerte
2009,75676.6114547341,4111.5,1.09101211412934,Crecimiento moderado
2010,78725.7261435126,4578.9,4.0291374444035,Crecimiento fuerte
2011,85402.8305599708,5210.0,8.481477076865861,Crecimiento fuerte
2012,90341.8572599477,5682.1,5.78321194694902,Crecimiento fuerte
2013,96856.6218345491,6144.1,7.21123604516563,Crecimiento fuerte
2014,100949.84611179901,6422.1,4.22606549735141,Crecimiento fuerte
2015,101070.674666627,5975.1,0.119691668171629,Crecimiento moderado
2016,100375.354004134,5907.9,-0.687954903622123,Contracción
2017,106368.164115476,6221.0,5.97039997596955,Crecimiento fuerte
2018,107478.961000081,6293.5,1.0442944971754,Crecimiento moderado
2019,107656.73600000299,6199.0,0.165404464528418,Crecimiento moderado
2020,97703.7671816773,5469.8,-9.245096208681069,Contracción
2021,106909.31128672899,6084.7,9.421892697273961,Crecimiento fuerte
2022,113183.202468606,6555.5,5.86842353239918,Crecimiento fuerte
