provincia,anio,ciiu,total_vab_miles_usd
AZUAY,2018,ACTIVIDADES FINANCIERAS,295567360.0
AZUAY,2018,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,628198720.0
AZUAY,2018,ADMINISTRACIÓN PÚBLICA,410542860.0
AZUAY,2018,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",100010630.0
AZUAY,2018,ALOJAMIENTO Y SERVICIOS DE COMIDA,70504430.0
AZUAY,2018,COMERCIO,783554540.0
AZUAY,2018,CONSTRUCCIÓN,377162970.0
AZUAY,2018,ECONOMÍA TOTAL,4651016760.0
AZUAY,2018,ENSEÑANZA,289596970.0
AZUAY,2018,EXPLOTACIÓN DE MINAS Y CANTERAS,112635740.0
AZUAY,2018,MANUFACTURA,792271510.0
AZUAY,2018,OTROS SERVICIOS,86411430.0
AZUAY,2018,SALUD,235865930.0
AZUAY,2018,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,204369230.0
AZUAY,2018,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",264324440.0
AZUAY,2019,ACTIVIDADES FINANCIERAS,308381710.0
AZUAY,2019,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,630613710.0
AZUAY,2019,ADMINISTRACIÓN PÚBLICA,409383070.0
AZUAY,2019,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",103500280.0
AZUAY,2019,ALOJAMIENTO Y SERVICIOS DE COMIDA,76087210.0
AZUAY,2019,COMERCIO,745522340.0
AZUAY,2019,CONSTRUCCIÓN,338960890.0
AZUAY,2019,ECONOMÍA TOTAL,4655331710.0
AZUAY,2019,ENSEÑANZA,292604450.0
AZUAY,2019,EXPLOTACIÓN DE MINAS Y CANTERAS,128167210.0
AZUAY,2019,MANUFACTURA,778018890.0
AZUAY,2019,OTROS SERVICIOS,101641180.0
AZUAY,2019,SALUD,239444410.0
AZUAY,2019,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,239846590.0
AZUAY,2019,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",263159770.0
AZUAY,2020,ACTIVIDADES FINANCIERAS,297501420.0
AZUAY,2020,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,593604240.0
AZUAY,2020,ADMINISTRACIÓN PÚBLICA,414462940.0
AZUAY,2020,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",97257090.0
AZUAY,2020,ALOJAMIENTO Y SERVICIOS DE COMIDA,50176040.0
AZUAY,2020,COMERCIO,648007970.0
AZUAY,2020,CONSTRUCCIÓN,222873550.0
AZUAY,2020,ECONOMÍA TOTAL,4190463720.0
AZUAY,2020,ENSEÑANZA,271474770.0
AZUAY,2020,EXPLOTACIÓN DE MINAS Y CANTERAS,132695300.0
AZUAY,2020,MANUFACTURA,690472500.0
AZUAY,2020,OTROS SERVICIOS,87104380.0
AZUAY,2020,SALUD,257007450.0
AZUAY,2020,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,216770820.0
AZUAY,2020,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",211055250.0
AZUAY,2021,ACTIVIDADES FINANCIERAS,344331570.0
AZUAY,2021,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,507950180.0
AZUAY,2021,ADMINISTRACIÓN PÚBLICA,415497480.0
AZUAY,2021,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",107531370.0
AZUAY,2021,ALOJAMIENTO Y SERVICIOS DE COMIDA,67271400.0
AZUAY,2021,COMERCIO,853292960.0
AZUAY,2021,CONSTRUCCIÓN,295365640.0
AZUAY,2021,ECONOMÍA TOTAL,4514245090.0
AZUAY,2021,ENSEÑANZA,277844100.0
AZUAY,2021,EXPLOTACIÓN DE MINAS Y CANTERAS,110523450.0
AZUAY,2021,MANUFACTURA,783954940.0
AZUAY,2021,OTROS SERVICIOS,98335640.0
AZUAY,2021,SALUD,211443130.0
AZUAY,2021,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,226891550.0
AZUAY,2021,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",214011680.0
AZUAY,2022,ACTIVIDADES FINANCIERAS,421398780.0
AZUAY,2022,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,566973550.0
AZUAY,2022,ADMINISTRACIÓN PÚBLICA,438264700.0
AZUAY,2022,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",88021550.0
AZUAY,2022,ALOJAMIENTO Y SERVICIOS DE COMIDA,78457880.0
AZUAY,2022,COMERCIO,985635670.0
AZUAY,2022,CONSTRUCCIÓN,319686310.0
AZUAY,2022,ECONOMÍA TOTAL,4883904120.0
AZUAY,2022,ENSEÑANZA,249569820.0
AZUAY,2022,EXPLOTACIÓN DE MINAS Y CANTERAS,114751350.0
AZUAY,2022,MANUFACTURA,784191510.0
AZUAY,2022,OTROS SERVICIOS,99326540.0
AZUAY,2022,SALUD,279135350.0
AZUAY,2022,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,234867850.0
AZUAY,2022,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",223623260.0
AZUAY,2023,ACTIVIDADES FINANCIERAS,430522630.0
AZUAY,2023,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,548944580.0
AZUAY,2023,ADMINISTRACIÓN PÚBLICA,284862080.0
AZUAY,2023,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",99337590.0
AZUAY,2023,ALOJAMIENTO Y SERVICIOS DE COMIDA,84959280.0
AZUAY,2023,COMERCIO,898272180.0
AZUAY,2023,CONSTRUCCIÓN,349684810.0
AZUAY,2023,ECONOMÍA TOTAL,5003714790.0
AZUAY,2023,ENSEÑANZA,255859930.0
AZUAY,2023,EXPLOTACIÓN DE MINAS Y CANTERAS,295611940.0
AZUAY,2023,MANUFACTURA,885927800.0
AZUAY,2023,OTROS SERVICIOS,96351710.0
AZUAY,2023,SALUD,288861250.0
AZUAY,2023,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,245924010.0
AZUAY,2023,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",238595000.0
AZUAY,2024,ACTIVIDADES FINANCIERAS,466394390.0
AZUAY,2024,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,637421290.0
AZUAY,2024,ADMINISTRACIÓN PÚBLICA,472578640.0
AZUAY,2024,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",112363660.0
AZUAY,2024,ALOJAMIENTO Y SERVICIOS DE COMIDA,104556080.0
AZUAY,2024,COMERCIO,898841060.0
AZUAY,2024,CONSTRUCCIÓN,332907170.0
AZUAY,2024,ECONOMÍA TOTAL,5331094910.0
AZUAY,2024,ENSEÑANZA,304241330.0
AZUAY,2024,EXPLOTACIÓN DE MINAS Y CANTERAS,254856120.0
AZUAY,2024,MANUFACTURA,824931500.0
AZUAY,2024,OTROS SERVICIOS,102064490.0
AZUAY,2024,SALUD,278940960.0
AZUAY,2024,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,297932650.0
AZUAY,2024,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",243065570.0
BOLÍVAR,2018,ACTIVIDADES FINANCIERAS,23014970.0
BOLÍVAR,2018,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,22956480.0
BOLÍVAR,2018,ADMINISTRACIÓN PÚBLICA,83436680.0
BOLÍVAR,2018,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",112613790.0
BOLÍVAR,2018,ALOJAMIENTO Y SERVICIOS DE COMIDA,2570780.0
BOLÍVAR,2018,COMERCIO,37456630.0
