anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes
2023-2024 Inicio,17H03687,CECOMSYS,PICHINCHA,17,RUMIÑAHUI,1705,Educación General Básica y Bachillerato,Particular,6
2023-2024 Inicio,06H00116,COLEGIO DE BACHILLERATO DR EUGENIO ESPEJO PCEI,CHIMBORAZO,6,RIOBAMBA,601,Educación General Básica y Bachillerato,Particular,4
2023-2024 Inicio,01H01615,COLEGIO DE BACHILLERATO PARTICULAR ATLÁNTICO PCEI,AZUAY,1,CUENCA,101,Bachillerato y Ofertas Intensivas,Particular,87
2023-2024 Inicio,01H02032,COLEGIO DE BACHILLERATO PARTICULAR NEUE SCHULE,AZUAY,1,CUENCA,101,Bachillerato,Particular,7
2023-2024 Inicio,11H01909,COLEGIO DE BACHILLERATO PARTICULAR PCEI DR JOSE MARIA VIVAR CASTRO,LOJA,11,LOJA,1101,Bachillerato,Particular,65
2023-2024 Inicio,11H00091,COLEGIO DE BACHILLERATO PARTICULAR PCEI ISIDRO AYORA CUEVA,LOJA,11,LOJA,1101,Educación General Básica y Bachillerato,Particular,69
2023-2024 Inicio,08H02102,COLEGIO DE BACHILLERATO PARTICULAR PCEI PROVINCIA DE ESMERALDAS,ESMERALDAS,8,ESMERALDAS,801,Bachillerato y Ofertas Intensivas,Particular,82
2023-2024 Inicio,17H04359,COLEGIO DE BACHILLERATO PARTICULAR PCEI VALLE,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,1
2023-2024 Inicio,18H00993,COLEGIO DE BACHILLERATO PCEI AMÉRICA,TUNGURAHUA,18,AMBATO,1801,Educación General Básica y Bachillerato,Particular,62
2023-2024 Inicio,10H00080,COLEGIO DE BACHILLERATO PCEI AMERICANO,IMBABURA,10,IBARRA,1001,Bachillerato y Ofertas Intensivas,Particular,60
2023-2024 Inicio,05H00853,COLEGIO DE BACHILLERATO PCEI BUENAS NUEVAS,COTOPAXI,5,PUJILI,504,Educación General Básica y Bachillerato,Particular,11
2023-2024 Inicio,10H00084,COLEGIO DE BACHILLERATO PCEI MANUELA ESPEJO,IMBABURA,10,IBARRA,1001,Educación General Básica y Bachillerato,Particular,45
2023-2024 Inicio,06H01926,COLEGIO DE BACHILLERATO PCEI OXFORD,CHIMBORAZO,6,RIOBAMBA,601,Educación General Básica y Bachillerato,Particular,8
2023-2024 Inicio,06H01452,COLEGIO DE BACHILLERATO PCEI SULTANA DE LOS ANDES,CHIMBORAZO,6,RIOBAMBA,601,Educación General Básica y Bachillerato,Particular,23
2023-2024 Inicio,10H00786,COLEGIO DE BACHILLERATO PCEI TIERRA NUEVA,IMBABURA,10,IBARRA,1001,Educación General Básica y Bachillerato,Particular,61
2023-2024 Inicio,10H00115,COLEGIO DE BACHILLERATO PCEI VIEJO LUCHADOR,IMBABURA,10,IBARRA,1001,Educación General Básica y Bachillerato,Particular,44
2023-2024 Inicio,13H05184,COLEGIO PARTICULAR A DISTANCIA MANUELA SAENZ,MANABI,13,PORTOVIEJO,1301,Educación General Básica y Bachillerato,Particular,24
2023-2024 Inicio,17H02378,COLEGIO POPULAR PARTICULAR A DISTANCIA SIMON BOLIVAR,PICHINCHA,17,RUMIÑAHUI,1705,Educación General Básica y Bachillerato,Particular,35
2023-2024 Inicio,15H00274,CRISTOBAL COLON,NAPO,15,TENA,1501,Educación General Básica y Bachillerato,Particular,16
2023-2024 Inicio,17H02179,DON BOSCO CAYAMBE,PICHINCHA,17,CAYAMBE,1702,Educación General Básica y Bachillerato,Particular,28
2023-2024 Inicio,05H00846,EXTENSIÓN EDUCATIVA MORASPUNGO PERTENECIENTE A LA UE PCEI EL CORAZÓN,COTOPAXI,5,PANGUA,503,Educación General Básica y Bachillerato,Fiscomisional,23
2023-2024 Inicio,17H00044,INSTITUCIÓN EDUCATIVA PARTICULAR JERICO,PICHINCHA,17,QUITO,1701,Bachillerato y Ofertas Intensivas,Particular,11
2023-2024 Inicio,17H03444,Institución Educativa Particular para Personas con Escolaridad Inconclusa ISRAEL,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,31
2023-2024 Inicio,06H01036,JOSE MARIA VELAZ,CHIMBORAZO,6,GUANO,607,Educación General Básica y Bachillerato,Fiscomisional,5
2023-2024 Inicio,17H02180,PCEI OSWALDO GUAYASAMIN,PICHINCHA,17,CAYAMBE,1702,Educación General Básica y Bachillerato,Particular,14
2023-2024 Inicio,17H04190,PCEI SIGLO XXI,PICHINCHA,17,RUMIÑAHUI,1705,Bachillerato,Particular,32
2023-2024 Inicio,10H00587,PEDRO VICENTE MALDONADO,IMBABURA,10,IBARRA,1001,Educación General Básica y Bachillerato,Particular,120
2023-2024 Inicio,17H03618,SAN JUAN PABLO II,PICHINCHA,17,QUITO,1701,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,86
2023-2024 Inicio,17H02379,SIGLO XXI,PICHINCHA,17,RUMIÑAHUI,1705,Bachillerato,Particular,32
2023-2024 Inicio,17H04340,"U.E. FISCOMISIONAL JOSÉ MARÍA VÉLAZ, S.J.- IRFEYAL- MATRIZ",PICHINCHA,17,QUITO,1701,Bachillerato,Fiscomisional,64
2023-2024 Inicio,17H00469,UE PARTICULAR PCEI CASA DE LA CULTURA ECUATORIANA,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,27
2023-2024 Inicio,17H04396,UEP PCEI FIBONACCI,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,1
2023-2024 Inicio,02H00794,UNIDAD EDUCATIVA  PCEI  23 DE AGOSTO,BOLIVAR,2,GUARANDA,201,Educación General Básica y Bachillerato,Particular,11
2023-2024 Inicio,05H00258,UNIDAD EDUCATIVA  PCEI MONSEÑOR LEONIDAS PROAÑO,COTOPAXI,5,PANGUA,503,Educación General Básica y Bachillerato,Fiscomisional,12
2023-2024 Inicio,13H05166,UNIDAD EDUCATIVA A DISTANCIA RIOS DE AGUA VIVA,MANABI,13,MANTA,1308,Educación General Básica y Bachillerato,Particular,23
2023-2024 Inicio,17H04413,UNIDAD EDUCATIVA ARUPOS,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Fiscal,81
2023-2024 Inicio,17H04399,UNIDAD EDUCATIVA BENNARES,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,6
2023-2024 Inicio,13H04857,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAS SJ EXT 28 CHONE,MANABI,13,CHONE,1303,Educación General Básica y Bachillerato,Fiscomisional,4
2023-2024 Inicio,13H04858,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ EXT 30 FLAVIO ALFARO,MANABI,13,FLAVIO ALFARO,1305,Educación General Básica y Bachillerato,Fiscomisional,37
