anio,cod_provincia,provincia,cod_canton,canton,ciiu,vab_miles_usd
2023,1.0,AZUAY,101.0,CUENCA,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",30999540.0
2023,1.0,AZUAY,101.0,CUENCA,EXPLOTACIÓN DE MINAS Y CANTERAS,34080880.0
2023,1.0,AZUAY,101.0,CUENCA,MANUFACTURA,868591100.0
2023,1.0,AZUAY,101.0,CUENCA,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,74269810.0
2023,1.0,AZUAY,101.0,CUENCA,CONSTRUCCIÓN,307426400.0
2023,1.0,AZUAY,101.0,CUENCA,COMERCIO,850861890.0
2023,1.0,AZUAY,101.0,CUENCA,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",221583060.0
2023,1.0,AZUAY,101.0,CUENCA,ALOJAMIENTO Y SERVICIOS DE COMIDA,79801230.0
2023,1.0,AZUAY,101.0,CUENCA,ACTIVIDADES FINANCIERAS,390243760.0
2023,1.0,AZUAY,101.0,CUENCA,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,524390130.0
2023,1.0,AZUAY,101.0,CUENCA,ADMINISTRACIÓN PÚBLICA,195896890.0
2023,1.0,AZUAY,101.0,CUENCA,ENSEÑANZA,216153830.0
2023,1.0,AZUAY,101.0,CUENCA,SALUD,279242550.0
2023,1.0,AZUAY,101.0,CUENCA,OTROS SERVICIOS,90803730.0
2023,1.0,AZUAY,101.0,CUENCA,ECONOMÍA TOTAL,4164344800.0
2023,1.0,AZUAY,102.0,GIRÓN,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",1239910.0
2023,1.0,AZUAY,102.0,GIRÓN,EXPLOTACIÓN DE MINAS Y CANTERAS,192080.0
2023,1.0,AZUAY,102.0,GIRÓN,MANUFACTURA,227050.0
2023,1.0,AZUAY,102.0,GIRÓN,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,625530.0
2023,1.0,AZUAY,102.0,GIRÓN,CONSTRUCCIÓN,1693830.0
2023,1.0,AZUAY,102.0,GIRÓN,COMERCIO,2717300.0
2023,1.0,AZUAY,102.0,GIRÓN,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",989240.0
2023,1.0,AZUAY,102.0,GIRÓN,ALOJAMIENTO Y SERVICIOS DE COMIDA,186330.0
