Año lectivo,AMIE,Nombre_Institución,Zona,Provincia,Cantón,Parroquia,Sostenimiento,Área,Matricula_Total
2015-2016 Fin,01B00020,COLEGIO INTERCULTURAL BILINGUE DE  NARANCAY,ZONA 6,AZUAY,CUENCA,BAÑOS,FISCAL,RURAL,99
2015-2016 Fin,01B00021,ESCUELA DE EDUCACION BASICA SEIS DE JUNIO,ZONA 6,AZUAY,CUENCA,CHAUCHA,FISCAL,RURAL,19
2015-2016 Fin,01B00027,CECIB DE EDUCACION BASICA MONSEÑOR LEONIDAS PROAÑO II,ZONA 6,AZUAY,CUENCA,QUINGEO,FISCAL,RURAL,187
2015-2016 Fin,01B00028,CECIB DE EDUCACION BASICA ESTRELLA DE SAN JOSE,ZONA 6,AZUAY,CUENCA,QUINGEO,FISCAL,RURAL,9
2015-2016 Fin,01B00029,CECIB DE EDUCACIÓN BÁSICA EL TEJAR,ZONA 6,AZUAY,CUENCA,QUINGEO,FISCAL,RURAL,57
2015-2016 Fin,01B00030,ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR BUENA ESPERANZA,ZONA 6,AZUAY,CUENCA,RICAURTE,PARTICULAR,RURAL,1157
2015-2016 Fin,01B00031,CECIB DE EDUCACION BASICA MONTE SINAÍ,ZONA 6,AZUAY,CUENCA,SANTA ANA,FISCAL,RURAL,51
2015-2016 Fin,01B00032,ESCUELA DE EDUCACIÓN BÁSICA XAVIER MUÑOZ CHÁVEZ,ZONA 6,AZUAY,CUENCA,TURI,FISCAL,RURAL,33
2015-2016 Fin,01B00034,CECIB DE EDUCACIÓN BÁSICA CESAR VICTORIANO MARTÍNEZ VERDUGO,ZONA 6,AZUAY,CUENCA,TURI,FISCAL,RURAL,60
2015-2016 Fin,01B00035,ESCUELA DE EDUCACIÓN BÁSICA MARCO MARTÍNEZ,ZONA 6,AZUAY,CUENCA,TURI,FISCAL,RURAL,42
2015-2016 Fin,01B00036,CECIB DE EDUCACIÓN BÁSICA  JUAN PEÑAFIEL,ZONA 6,AZUAY,CUENCA,SANTA ANA,FISCAL,RURAL,90
2015-2016 Fin,01B00037,CECIB DE EDUCACIÓN BÁSICA MIGUEL IGNACIO CORDERO MONCAYO,ZONA 6,AZUAY,GUALACEO,GUALACEO,FISCAL,URBANA,164
2015-2016 Fin,01B00041,ESCUELA DE EDUCACIÓN BÁSICA LA DOLOROSA,ZONA 6,AZUAY,GUALACEO,SAN JUAN,FISCAL,RURAL,85
2015-2016 Fin,01B00043,ESCUELA DE EDUCACIÓN BÁSICA RUMIÑAHUI,ZONA 6,AZUAY,GUALACEO,ZHIDMAD,FISCAL,RURAL,20
2015-2016 Fin,01B00045,CECIB DE EDUCACIÓN BÁSICA  EFRAÍN NAULA,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,105
2015-2016 Fin,01B00046,CECIB DE EDUCACIÓN BÁSICA ARTURO QUESADA MENDIETA,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,178
2015-2016 Fin,01B00047,CECIB DE EDUCACION BÁSICA  MONSEÑOR LEONIDAS PROAÑO 1,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,161
2015-2016 Fin,01B00048,CECIB DE EDUCACIÓN BÁSICA SAN JOSÉ,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,124
2015-2016 Fin,01B00049,CECIB DE EDUCACIÓN BÁSICA CESAR AGUSTÍN MOROCHO,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,148
2015-2016 Fin,01B00050,CECIB DE EDUCACIÓN BÁSICA JOSÉ ALBERTO MOROCHO,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,24
2015-2016 Fin,01B00051,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE SAN JOSÉ,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,92
2015-2016 Fin,01B00052,ESCUELA DE EDUCACIÓN BÁSICA BALTAZAR AGUIRRE,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,219
2015-2016 Fin,01B00053,CECIB DE EDUCACIÓN BÁSICA FERNANDO DAQUILEMA,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,29
2015-2016 Fin,01B00054,UNIDAD EDUCATIVA  COMUNITARIA INTERCULTURAL BILINGUE SHIÑA,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,137
2015-2016 Fin,01B00055,ESCUELA DE EDUCACIÓN BÁSICA  LA MERCED,ZONA 6,AZUAY,NABON,EL PROGRESO (CAB. EN ZHOTA),FISCAL,RURAL,25
2015-2016 Fin,01B00056,CECIB DE EDUCACIÓN BÁSICA JAIME ROLDOS AGUILERA,ZONA 6,AZUAY,SIGSIG,LUDO,FISCAL,RURAL,59
2015-2016 Fin,01B00057,CECIB DE EDUCACIÓN BÁSICA NUEVO SUSUDEL,ZONA 6,AZUAY,OÑA,SUSUDEL,FISCAL,RURAL,106
2015-2016 Fin,01B00059,ESCUELA DE EDUCACIÓN BÁSICA OSWALDO GUAYASAMIN,ZONA 6,AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DEL PIJILI,FISCAL,RURAL,7
2015-2016 Fin,01B00060,ESCUELA DE EDUCACIÓN BÁSICA JOSE PUZHI,ZONA 6,AZUAY,CUENCA,QUINGEO,FISCAL,RURAL,35
2015-2016 Fin,01B00065,CECIB DE EDUCACIÓN BÁSICA MARIO LEÓN,ZONA 6,AZUAY,CUENCA,MOLLETURO,FISCAL,RURAL,9
2015-2016 Fin,01B00066,ESCUELA DE EDUCACIÓN BÁSICA SAN VICENTE,ZONA 6,AZUAY,CUENCA,QUINGEO,FISCAL,RURAL,34
2015-2016 Fin,01B00067,CECIB DE EDUCACIÓN BÁSICA QUILLUSISAPAC RICCHARIMUI,ZONA 6,AZUAY,NABON,NABON,FISCAL,URBANA,43
2015-2016 Fin,01B00069,ESCUELA DE EDUCACIÓN BÁSICA 20 DE AGOSTO,ZONA 6,AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DEL PIJILI,FISCAL,RURAL,8
2015-2016 Fin,01B00071,ESCUELA DE EDUCACIÓN BÁSICA 27 DE SEPTIEMBRE,ZONA 6,AZUAY,OÑA,SAN FELIPE DE OÑA,FISCAL,URBANA,11
2015-2016 Fin,01B00072,ESCUELA DE EDUCACIÓN BÁSICA MARÍA AYORA PINEDA,ZONA 6,AZUAY,CUENCA,QUINGEO,FISCAL,RURAL,31
2015-2016 Fin,01B00073,ESCUELA DE EDUCACIÓN BÁSICA TRIGOPAMBA,ZONA 6,AZUAY,NABON,LAS NIEVES (CHAYA),FISCAL,RURAL,7
2015-2016 Fin,01H00001,ESCUELA DE EDUCACION BASICA PARTICULAR CRISTO REY,ZONA 6,AZUAY,CUENCA,BELLAVISTA,PARTICULAR,URBANA,129
2015-2016 Fin,01H00003,ESCUELA DE EDUCACIÓN BÁSICA RAFAEL AGUILAR PESANTEZ,ZONA 6,AZUAY,CUENCA,BELLAVISTA,FISCAL,URBANA,511
2015-2016 Fin,01H00007,CENTRO DE EDUCACIÓN INICIAL PARTICULAR LUNA DE CRISTAL,ZONA 6,AZUAY,CUENCA,BELLAVISTA,PARTICULAR,URBANA,18
2015-2016 Fin,01H00010,UNIDAD EDUCATIVA BENJAMÍN RAMIREZ ARTEAGA,ZONA 6,AZUAY,CUENCA,EL BATAN,FISCAL,URBANA,563
2015-2016 Fin,01H00011,ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR NUEVO MILENIO,ZONA 6,AZUAY,CUENCA,BELLAVISTA,PARTICULAR,URBANA,74
2015-2016 Fin,01H00028,COLEGIO DE BACHILLERATO PARTICULAR PADRE FELIX ROCCHA,ZONA 6,AZUAY,CUENCA,BELLAVISTA,FISCOMISIONAL,URBANA,102
2015-2016 Fin,01H00035,UNIDAD EDUCATIVA LA INMACULADA,ZONA 6,AZUAY,CUENCA,TOTORACOCHA,FISCAL,URBANA,1192
2015-2016 Fin,01H00037,ESCUELA DE EDUCACIÓN BÁSICA JULIO MARIA MATOVELLE,ZONA 6,AZUAY,CUENCA,BELLAVISTA,FISCAL,URBANA,1471
2015-2016 Fin,01H00043,ESCUELA DE EDUCACIÓN BÁSICA FEDERICO PROAÑO,ZONA 6,AZUAY,CUENCA,BELLAVISTA,FISCAL,URBANA,1420
2015-2016 Fin,01H00045,COLEGIO DE BACHILLERATO PARTICULAR JOSE MARIA VELAZ PCEI,ZONA 6,AZUAY,CUENCA,BELLAVISTA,PARTICULAR,URBANA,113
2015-2016 Fin,01H00046,ESCUELA DE EDUCACIÓN BÁSICA FRANCISCA DÁVILA DE MUÑOZ,ZONA 6,AZUAY,CUENCA,BELLAVISTA,FISCAL,URBANA,750
2015-2016 Fin,01H00048,ESCUELA DE EDUCACIÓN BÁSICA FISCOMISIONAL PADRE CARLOS CRESPI,ZONA 6,AZUAY,CUENCA,BELLAVISTA,FISCOMISIONAL,URBANA,1142
2015-2016 Fin,01H00049,UNIDAD EDUCATIVA ALBERTO ANDRADE ARÍZAGA BRUMEL,ZONA 6,AZUAY,CUENCA,BELLAVISTA,FISCAL,URBANA,863
2015-2016 Fin,01H00052,CENTRO DE EDUCACION INICIAL PARTICULAR MAMYS DAY CARE,ZONA 6,AZUAY,CUENCA,BELLAVISTA,PARTICULAR,URBANA,38
2015-2016 Fin,01H00054,ESCUELA DE EDUCACION BASICA PARTICULAR ENSUEÑOS,ZONA 6,AZUAY,CUENCA,BELLAVISTA,PARTICULAR,URBANA,107
2015-2016 Fin,01H00060,CENTRO EDUCATIVO SOL DE TALENTOS,ZONA 6,AZUAY,CUENCA,BELLAVISTA,MUNICIPAL,URBANA,72
2015-2016 Fin,01H00061,ESCUELA DE EDUCACIÓN BÁSICA 3 DE NOVIEMBRE,ZONA 6,AZUAY,CUENCA,BELLAVISTA,FISCAL,URBANA,1073
2015-2016 Fin,01H00062,STEPHEN HAWKING,ZONA 6,AZUAY,CUENCA,BELLAVISTA,FISCAL,URBANA,41
2015-2016 Fin,01H00063,UNIDAD EDUCATIVA ESPECIAL DEL AZUAY,ZONA 6,AZUAY,CUENCA,CAÑARIBAMBA,FISCAL,URBANA,95
2015-2016 Fin,01H00064,CENTRO DE EDUCACION INICIAL PARTICULAR LETRAS Y VIDA,ZONA 6,AZUAY,CUENCA,CAÑARIBAMBA,PARTICULAR,URBANA,56
2015-2016 Fin,01H00066,CENTRO DE EDUCACION INICIAL PARTICULAR MIS ENANITOS,ZONA 6,AZUAY,CUENCA,CAÑARIBAMBA,PARTICULAR,URBANA,11
2015-2016 Fin,01H00067,ESCUELA DE EDUCACIÓN BÁSICA JULIO ABAD CHICA,ZONA 6,AZUAY,CUENCA,CAÑARIBAMBA,FISCAL,URBANA,1045
2015-2016 Fin,01H00070,ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR RAYITO DE LUZ,ZONA 6,AZUAY,CUENCA,MONAY,PARTICULAR,URBANA,29
2015-2016 Fin,01H00072,UNIDAD EDUCATIVA ESPECIAL ADINEA,ZONA 6,AZUAY,CUENCA,CAÑARIBAMBA,PARTICULAR,URBANA,139
2015-2016 Fin,01H00074,UNIDAD EDUCATIVA ZOILA AURORA PALACIOS,ZONA 6,AZUAY,CUENCA,CAÑARIBAMBA,FISCAL,URBANA,1363
2015-2016 Fin,01H00075,JOSE MARIA VELAZ EXT. 03 CUENCA,ZONA 6,AZUAY,CUENCA,CAÑARIBAMBA,FISCOMISIONAL,URBANA,510
2015-2016 Fin,01H00076,CESAR DAVILA ANDRADE,ZONA 6,AZUAY,CUENCA,CAÑARIBAMBA,FISCAL,URBANA,840
2015-2016 Fin,01H00077,CENTRO DE EDUCACIÓN INICIAL RITA CHAVEZ DE MUÑOZ,ZONA 6,AZUAY,CUENCA,CAÑARIBAMBA,FISCAL,URBANA,91
2015-2016 Fin,01H00082,ESCUELA DE EDUCACIÓN BÁSICA DOCE DE ABRIL,ZONA 6,AZUAY,CUENCA,EL BATAN,FISCAL,URBANA,1008
2015-2016 Fin,01H00086,ESCUELA DE EDUCACIÓN BÁSICA HERMANO MIGUEL,ZONA 6,AZUAY,CUENCA,EL BATAN,FISCAL,URBANA,569
2015-2016 Fin,01H00087,CENTRO DE EDUCACIÓN INICIAL HERNAN MALO,ZONA 6,AZUAY,CUENCA,EL BATAN,FISCAL,URBANA,359
